Abbreviation,Meaning,Example
ሀ/ለ,ሀ/ለ,በመጨረሻም ፍ/ቤቱ በሰጠው ትዕዛዝ መሰረት 1. አቶ ታምራት ታረቀኝን የፍትህ ሚኒስቴር ሚኒስትር ለተከታዩ ቀጠሮ ይዘው እንዲቀርቡ፣ 2. አቶ ደጉ ማረው በወ/መሕ/ቁጥር 332/1 ሀ/ለ እንዲሁም 446/7 ባለው ሕግ ጥፋተኛ ሆኖ ፍ/ቤቱ ስላገኛቸው በወ/መሕ/ቁጥር 481 መሰረት በ15 ቀን እስራት እንዲቀጡ፣ 3. ሻ/ል ይልማ ዘለቀን ፍ/ቤቱ በጠራቸው ጊዜ በሕመም ላይ ለመሆናቸው የህክምና ማስረጃ በማቅረባቸው በነፃ አሰናብቷል። 4. የወረዳ 10 ፖሊስ ጣቢያ አዛዥ ሁለቱን ረዳት ኮሚሽነሮች አስሮ ባለማቅረቡና ይህንን ያላደረጉበትን ምክንያት መጥተው ባለማስረዳታቸው የአዲስ አበባ ፖሊስ አስሮ እንዲያቀርባቸው ወስኖ ለዛሬ ግንቦት 17 ቀን 1993 ዓ.ም ቀጠሮ ሰጥቷል።
ሀ/ለ/ሐ,ሀ/ለ/ሐ,በተጨማሪም ተከሳሾቹ ከእስር ቢለቀቁም ቀደም ብሎ የፈጸሙዋቸውን የወንጀል ተግባሮች እና አመጽን ሊቀጥሉበት ይችላሉ የሚል ግንዛቤ ሊወስድ የሚያስችል በቂ ሁኔታ ስለመኖሩ ጠቅሶ በዋስ ቢለቀቁም ግዴታቸውን አክብረው በቀጠሮው ይቀርባሉ ተብሎ ስለማይገመትና እና በዐቃቤ ሕግ ማስረጃዎች አንጻርም የሚያሳድረው ተጽእኖ ግምት ውስጥ በማስገባት ወ/መ/ሕ/ሥ/ቁጥር 67 (ሀ/ለ/ሐ) መሰረት፤
ሀ/ማርያም,ሀይለ ማርያም,የአፍሪካ አንድነት ድርጅትን ዋና መ/ቤት በአዲስ አበባ እንዲሆን ያደረጉት ቀዳማዊ ሀይለስላሴ እንደነበሩ ይታወሳል። በመቀጠልም ኮ/ል መንግስቱ ሀ/ማርያም ባደረጉት ብርቱ ጥረት የድርጅቱ መቀመጫ ከአዲስ አበባ አልተነቃነቀም። አሁን ግን በጠ/ሚ/ር መለስ ዘመን እንዲለወጥ ሀሳብ መቅረቡ ብቻ ለኢትዮጵያውያን ውርደት መሆኑን ታዛቢዎች ያሰምሩበታል።
ሃ/ማርያም,ሃይለ ማርያም,ጥፋተኛ ከተባሉት 40 ተከሳሾች ውስጥ የዶ/ር ብርሃኑ ነጋ፣ አንዳርጋቸው ጽጌ፣ ብ/ጄ/ ተፈራ ማሞ፣ አሳምነው ጽጌ፣ ኮ/ሌ አለሁበል አማረ፣ ጽጌ ሃ/ማርያም እና ያረጋል ይማም (ሚኪ) ንብረት እንዲወረስ ዐቃቤ ህግ መጠየቁንም ዘግበናል።
ሃ/ማርያምም,ሃይለ ማርያም,ብ/ጄ/ ተፈራ ማሞ፣ አስምነው ፅጌ፣ ጌቱ ወርቁ፣ ፅጌ ሃ/ማርያምም በቀረበባቸው ክስ ጥፋተኛ በመባላቸው በአንቀፅ 260 መሠረት ንብረታቸው እንዲወረስ በግልፅ በመደንገጉ፤ በስማቸው በባለቤተንት የያዟቸው የግል ንብረቶች እንዲወረስ ትዕዛዝ እንዲሰጥለት ፍርድ ቤቱን ጠይቋል።
ህ/ሰብ,ህብረተሰብ, የዞኑ እ/ጉ/ም/ቤት አባላት ካለምንም መመሪያ በማን አለብኝነት ያሻቸውን እንደሚያደርጉና ከኃይለ ሥላሴ ዘመነ መንግሥት ጀምሮ በነበራቸው የስልጣን እርከን ሙስሊሙን ህብረተሰብ ሲበድሉና በዘር ሲከፋፍሉ እንደነበር ገልፀው አሁንም ያለምንም የህዝብ ምርጫ ስልጣን መያዛቸውን በመቃወም ቦታቸውን ለሙስሊሙ ህ/ሰብ እንዲያስረክቡ መጠየቅ፣
ህ/ቁ,ህዝባር ቁጥር,ግንቦት 13/1991 በዋለው ችሎትም ተከሣሾች ሊቀርቡ ባለመቻላቸው ፖሊስ ፈልጎ እንዲያቀርብ ትዕዛዝ ተሰጥቶች ሊያገኛቸው አለመቻሉን በማስረዳቱ ከቀጣዩ ወር አንድ ቀን አስቀድሞ በወ/መ/ህ/ስ/ስ ህ/ቁ 161/ሀ መሰረት ተከሳሾች በአዲስ ዘመን ጋዜጣ እንዲጠሩ ችሎቱ ትዕዛዝ ሰጥቷል።
ህ/ተሰብ,ህብረተሰብ,ከሶስት ዓመታት በፊት በኢማምነት የተቀጠሩት ሸኽ ሙሃመድ ሁሴን በከተማዋ ሙስሊም ብቻም ሳይሆን በክርስቲያኑ ህ/ተሰብ ዘን ታላቅ ከበሬታና ፍቅር ያላቸው መሆኑን ያስረዱት እኚሁ የኮሚቴ አባል በዞኑ እ/ጉ/ም/ቤት ደባ የኦሮሚያ እ/ጉ/ም/ቤት ጉዳዮን ሳያጠራ እርምጃ መውሰዱ የጊምቢን ከተማ ነዋሪ በከፍተኛ ሁኔታ ያስቆጣና ያሳዘነ መሆኑን ገልፀዋል።
ህብረት/ኢዴህሕ,የኢትዮጵያ ዲሞክራሳዊ ሃይሎች ህብረት (ኢዴሃሕ),በኢትዮጵያ ዲሞክራሲያዊ ሃይሎች ህብረት/ኢዴህሕ/ ውስጥ የዋና ፀሐፊነት ሃላፊነትን ያገኙት ዶክተር አድማሱ ገበየሁ ሕብረቱን በመሰረተው ሁሉን አቀፍ የፓርቲዎች ጉባኤ ላይ ባለመሣተፋቸውና እንዲሣተፉ ባለመደረጋቸው በአሜሪካ ባሉ የሬዲዮ ጣቢያዎች አፍራሽ ፕሮፖጋንዳ ሲያካሂዱ ከነበሩት ከኮ/ል ጐሹ ወልዴ ከሚመራው የመድህን ፓርቲ ጋር ለመዋሀድ መስማማታቸውን በብዙዎች ተመልካቾች ዘንድ ትዝብትን ገረሜታን አሳድሯል።
ለ/አ/አ/ድ,ለአፍሪካ አንድነት ድርጅት,በመጨረሻም ያለፍርድ ቤት ትዕዛዝ በእስር ቤት የሚገኙ የነፃው ፕሬስ ጋዜጠኞች የሕሊና እስረኞች በአስቸኳይ እንዲፈቱ መንግሥትን ጠይቋል። ፓርላማው የአስተላለፈውን ውሳኔ ለተ/መ/ድ ዋና ፀሐፊ ለ/አ/አ/ድ ዋና ፀሐፊ እና በ/ተ/መ/ድ ለሰብዓዊ መብት ኮሚሽን ኰሚሽነር ባድራሻቸው መላኩን አስታውቋል።
ለመ/ገ/አባ,ለመልአከ ገነት አባ,በእጩ ኤጲስ ቆጶስነት ምክንያት ሥራ አስኪያጅነቱን በለቀቁትና በአሁኑ ሰዓት ግን ከሁለቱም ሳይሆኑ ለመኪና አደጋ ተጋልጠው በሚገኙት አባ ገ/ሚካኤል በየነ እግር እንዲተኩ በፓትርያርኩ ፈቃድ የሥራ አስኪ ያጅነቱ ሥልጣን የተሰጣቸው፣ የቀድሞ የአራዳ ጊዮርጊስ ቤተ ክርስቲያን አስተዳዳሪ የነበሩት መ/ገ/አባ ኃ/ማርያም፣ የአባ ጳውሎስን ፈቃድ ለመሙላት ሲሉ በስንት የአማላጅ ርብርብ በተሰጣቸው የሥራ አስኪያጅነት ሥራ ለመሥራት ፈቃደኛ ቢሆኑም፣ የፓትርያርኩ የእህት ልጅ አቶ ያሬድና ግብረአበሮቹ ግን የሥራ አስኪያጅነቱ ሥልጣን ለመ/ገ/አባ ኃ/ማርያም መሰጠት እንደሌለበት ብዙ መከላከልና የማክሸፍ ጥረት አድርገውባቸው እንደነበር ከቤተ ክህነቱ አካባቢ የደረሰን ዜና ጠቁሟል።
ለሜ/ጄኔራል,ለሜጀር ጄኔራል,በሰኔ 27 ቀን 1993 ዓ.ም ከጠቅላይ ሚኒስትር መለስ ዜናዊ ለሜ/ጄኔራል አባዱላ እንደተፃፈ የሚገልፅ አንድ ደብዳቤ ጄኔራሉ ሰኔ 25 ቀን የስራ መልቀቂያ ጥያቄ ማቅረባቸውን ከምስጋና ጋር እንደተሰናበቱ ያመለክታል። «የተጣለብዎትን ከፍተኛ አደራ በቅንነት፣ በቆራጥነት፣ በትጋት የፈፀሙ» በማለት ጀኔራል አባዱላን የሚያደንቀው የጠ/ሚ/መለስ ደብዳቤ ተደጋጋሚ የስራ መልቀቂያ ጥያቄ ማቅረባቸውን ከጠቆመ በኋላ «ጥያቄዎን ያዘገየሁት ለሠራዊቱ መጠናከር ሊያደርጉ የሚችሉትን አስተዋፅዖ ላለማጣት ብቻ ነው»። ቀጥሎም ከጥያቄዎች የገፉ በመሆንዎ መብትሮ ተከብሮ ከሰራዊቱ ከዛሬ ጀምሮ በታላቅ ክብር የተሰናበቱ መሆንዎን እገልፃለሁ» የሚል ጹሑፍ ሰፍሯል በደብዳቤው። በአቶ መለስ ደብዳቤ ውስጥ የተጠቀሰው «ጥያቄዎን ያዘገየሁት» የሚለው አባባል የጄኔራል አባዱላ ጥያቄ ለረዥም ጊዜ የቆየ ለማስመሰል የገባ ነው ሲሉ ተቺዎች ገልፀዋል።
ለም/ቤቱ,ለምክር ቤቱ,ጠ/ሚ/ር መለስ ዜናዊ ለም/ቤቱ ባሰሙት በዚህ ንግግራቸው ከግጭቱ ማግሥት ጀምሮ በተቃዋሚ ኃይላት ዘንድ የታየው መልካም የትብብር መንፈስ ወደፊት በተለያዩ ጉዳዮች ላይ ተጠናክሮ እንደሚቀጥል ተስፋቸውን ገልጠዋል። መንግሥትም በበኩሉ ትብብር እንደሚያደርግ ቃል ገብተዋል።
